0 time:446.74,best fitness:-5.134092275719754
1 time:433.7,best fitness:-5.199783763352011
2 time:444.4,best fitness:-5.1354764447045
3 time:438.58,best fitness:-5.165982460706151
4 time:440.53,best fitness:-5.133990354796904
5 time:439.28,best fitness:-5.16840098719006
6 time:436.46,best fitness:-5.084311177847537
7 time:439.55,best fitness:-5.13471591766312
8 time:442.07,best fitness:-5.103903622123129
9 time:436.01,best fitness:-5.134699610316458
10 time:440.63,best fitness:-5.145150506486292
11 time:441.43,best fitness:-5.130684704373917
12 time:441.5,best fitness:-5.183444440251058
13 time:439.05,best fitness:-5.114313765222525
14 time:440.63,best fitness:-5.15919406767288
15 time:437.86,best fitness:-5.126046245791716
16 time:438.31,best fitness:-5.133416361993497
17 time:440.52,best fitness:-5.083154237090583
18 time:441.62,best fitness:-5.127022296662724
19 time:433.66,best fitness:-5.148346092261479
20 time:438.97,best fitness:-5.1291621923475095
21 time:435.81,best fitness:-5.1319704316656765
22 time:440.14,best fitness:-5.138752016558735
23 time:443.72,best fitness:-5.136242357368921
24 time:434.19,best fitness:-5.068359158066089
25 time:438.45,best fitness:-5.144277411114894
26 time:440.31,best fitness:-5.119967167459338
27 time:440.01,best fitness:-5.135191471393328
28 time:439.14,best fitness:-5.155574208264691
29 time:435.46,best fitness:-5.158175947128919
30 time:440.4,best fitness:-5.117715002986168
31 time:441.59,best fitness:-5.151761402981814
32 time:444.46,best fitness:-5.168604441134606
33 time:441.98,best fitness:-5.127622071109217
34 time:439.29,best fitness:-5.118559867647843
35 time:442.16,best fitness:-5.168045253359752
36 time:440.96,best fitness:-5.1117467169681134
37 time:441.7,best fitness:-5.143213296465307
38 time:439.33,best fitness:-5.136031931071853
39 time:441.44,best fitness:-5.1414595323166425
40 time:442.58,best fitness:-5.143804883305004
41 time:441.48,best fitness:-5.140573108198791
42 time:442.5,best fitness:-5.1076993704945375
43 time:441.93,best fitness:-5.111667140599211
44 time:443.07,best fitness:-5.1621392585198125
45 time:442.05,best fitness:-5.139516487578129
46 time:438.24,best fitness:-5.122492548400549
47 time:438.53,best fitness:-5.139704466720405
48 time:440.1,best fitness:-5.136897650082839
49 time:433.57,best fitness:-5.121981506175641
50 time:439.13,best fitness:-5.144417676999312
51 time:439.71,best fitness:-5.170018674965623
52 time:442.1,best fitness:-5.151927268773901
53 time:441.08,best fitness:-5.137972604133357
54 time:441.88,best fitness:-5.145517278620088
55 time:444.83,best fitness:-5.136231666864676
56 time:441.06,best fitness:-5.162801124143531
57 time:438.14,best fitness:-5.15253159053295
58 time:437.59,best fitness:-5.068350280100659
59 time:437.98,best fitness:-5.138913113970598
60 time:431.98,best fitness:-5.1443330318061005
61 time:436.99,best fitness:-5.141933504252142
62 time:440.82,best fitness:-5.135017151174656
63 time:439.75,best fitness:-5.1007193442286125
64 time:438.61,best fitness:-5.112227048518806
