0 time:626.62,best fitness:-5.174409525432
1 time:609.1,best fitness:-5.17255842002193
2 time:616.23,best fitness:-5.15410288208258
3 time:619.57,best fitness:-5.14501466153302
4 time:614.59,best fitness:-5.128302592803741
5 time:614.53,best fitness:-5.129332263342875
6 time:619.96,best fitness:-5.164315654686417
7 time:612.26,best fitness:-5.1198450128973745
8 time:614.2,best fitness:-5.1530045701383145
9 time:626.18,best fitness:-5.154499035706925
10 time:620.84,best fitness:-5.164607785732717
11 time:614.89,best fitness:-5.149955009238764
12 time:610.68,best fitness:-5.163440129864965
13 time:614.95,best fitness:-5.130943371341539
14 time:610.81,best fitness:-5.155722654614317
15 time:603.74,best fitness:-5.074720487887648
16 time:589.87,best fitness:-5.147970045139347
17 time:589.22,best fitness:-5.159092937464756
18 time:584.33,best fitness:-5.135150791765808
19 time:588.41,best fitness:-5.147625861776939
20 time:589.25,best fitness:-5.157245894162815
21 time:593.99,best fitness:-5.142564965843354
22 time:596.37,best fitness:-5.126972809728153
23 time:596.36,best fitness:-5.1441402537106615
24 time:592.01,best fitness:-5.152579179728994
25 time:589.1,best fitness:-5.10615657875257
26 time:594.97,best fitness:-5.153055685577922
27 time:593.48,best fitness:-5.156487512016267
28 time:595.47,best fitness:-5.169771700960645
29 time:592.09,best fitness:-5.124182683234437
30 time:589.64,best fitness:-5.113099670537553
31 time:594.63,best fitness:-5.162317348593645
32 time:598.33,best fitness:-5.139407659754097
33 time:594.93,best fitness:-5.172334258873418
34 time:594.88,best fitness:-5.1487248510337436
35 time:599.77,best fitness:-5.171408959833682
36 time:596.9,best fitness:-5.132869872987318
37 time:597.72,best fitness:-5.154387256261638
38 time:598.8,best fitness:-5.177315040779005
39 time:593.91,best fitness:-5.172885340222704
40 time:599.27,best fitness:-5.099683028217251
41 time:597.83,best fitness:-5.170304048128686
42 time:599.29,best fitness:-5.148249550586733
43 time:596.8,best fitness:-5.145581028130723
44 time:603.22,best fitness:-5.150801222616469
45 time:599.61,best fitness:-5.1640073630627255
46 time:594.94,best fitness:-5.136965668260541
47 time:600.31,best fitness:-5.148152635049089
48 time:597.93,best fitness:-5.144135819223925
49 time:594.19,best fitness:-5.045659160048364
50 time:599.16,best fitness:-5.130901827165227
51 time:599.57,best fitness:-5.115806393042398
52 time:601.45,best fitness:-5.111054145326762
53 time:598.88,best fitness:-5.132292602140586
54 time:595.99,best fitness:-5.136011081959682
