0 time:1848.84,best fitness:-8.023805693360346
1 time:1818.82,best fitness:-7.964839047977757
2 time:1822.89,best fitness:-7.9663844338620065
3 time:1831.68,best fitness:-7.926714039901158
4 time:1841.65,best fitness:-7.849023767738561
5 time:1837.75,best fitness:-7.833562473070714
6 time:1846.12,best fitness:-7.83302342910014
7 time:1856.72,best fitness:-7.820853157635591
8 time:1851.02,best fitness:-7.823189475422869
9 time:1858.32,best fitness:-7.8364277489068215
10 time:1848.59,best fitness:-7.817036518801937
11 time:1857.22,best fitness:-7.798766524767134
12 time:1860.05,best fitness:-7.813883347902878
13 time:1868.36,best fitness:-7.627809776673855
14 time:1866.66,best fitness:-7.482116198529174
15 time:1876.58,best fitness:-7.49620433610158
16 time:1844.91,best fitness:-7.489149222619725
17 time:1854.86,best fitness:-7.180411719910623
18 time:1872.17,best fitness:-7.117037500999997
19 time:1865.18,best fitness:-7.080304936732593
20 time:1853.31,best fitness:-7.102920117166758
21 time:1865.3,best fitness:-7.1038608254193445
22 time:1858.61,best fitness:-7.101767470957618
23 time:1861.11,best fitness:-7.107903019288672
24 time:1852.38,best fitness:-7.09279069601188
25 time:1851.48,best fitness:-7.099245888193113
26 time:1858.27,best fitness:-7.105470983456961
27 time:1847.0,best fitness:-7.100900390709562
28 time:1853.87,best fitness:-7.099755732566111
29 time:1859.52,best fitness:-7.096893572165834
30 time:1864.7,best fitness:-7.091707386522612
31 time:1866.78,best fitness:-7.093018722280663
32 time:1862.77,best fitness:-7.1059008314086824
33 time:1854.88,best fitness:-7.1019107411887585
34 time:1840.12,best fitness:-7.100158073084958
35 time:1856.65,best fitness:-7.098245111778175
36 time:1853.31,best fitness:-7.095338164871952
37 time:1854.91,best fitness:-7.101864055333527
38 time:1854.08,best fitness:-7.112614920433861
39 time:1850.37,best fitness:-7.097977635376866
40 time:1850.0,best fitness:-7.0923564734792475
