0 time:202.35,best fitness:-22.286615088921284
1 time:161.54,best fitness:-20.39638096314128
2 time:155.53,best fitness:-20.048396741749794
3 time:154.72,best fitness:-20.195538737328885
4 time:154.18,best fitness:-20.536388945746737
5 time:153.75,best fitness:-19.01140972427284
6 time:152.67,best fitness:-19.80854726735517
7 time:151.84,best fitness:-19.561476690276738
8 time:152.06,best fitness:-19.8289664363932
9 time:151.75,best fitness:-19.01679229835638
10 time:152.14,best fitness:-19.767823255676515
11 time:154.74,best fitness:-20.222778538351697
12 time:154.64,best fitness:-19.508283950920042
13 time:156.02,best fitness:-19.86204237264151
14 time:154.17,best fitness:-20.418195632380463
15 time:157.16,best fitness:-20.100512250536408
16 time:153.5,best fitness:-19.4555663766353
17 time:151.15,best fitness:-19.9869493788439
18 time:152.91,best fitness:-20.23282139267366
19 time:154.47,best fitness:-20.052341945159863
20 time:154.28,best fitness:-19.20109536176324
21 time:155.8,best fitness:-20.221862696105322
22 time:156.07,best fitness:-20.10255112139343
23 time:157.91,best fitness:-19.059765324084022
24 time:157.46,best fitness:-19.71229385593431
25 time:156.17,best fitness:-19.001949152434893
26 time:157.05,best fitness:-20.16771139221286
27 time:155.2,best fitness:-19.878184868184224
28 time:154.55,best fitness:-18.926893013508863
29 time:156.23,best fitness:-20.13274814140229
30 time:155.08,best fitness:-19.976673582338723
31 time:154.13,best fitness:-20.13658835493601
32 time:155.55,best fitness:-19.89218349119358
33 time:151.38,best fitness:-19.78361150574528
34 time:154.6,best fitness:-19.11014127612923
35 time:155.07,best fitness:-18.35083240957165
36 time:154.12,best fitness:-17.17368489795666
37 time:154.47,best fitness:-17.338305968708607
38 time:155.54,best fitness:-17.581298137812777
39 time:154.91,best fitness:-17.95508884155244
40 time:151.1,best fitness:-17.140887154583066
41 time:150.76,best fitness:-17.093181943915344
42 time:150.97,best fitness:-17.341971517400875
43 time:152.92,best fitness:-17.457489691485222
44 time:154.15,best fitness:-17.33167011859751
45 time:153.05,best fitness:-17.372779109741852
46 time:155.16,best fitness:-17.22938949953635
47 time:154.52,best fitness:-17.328740925466715
48 time:154.28,best fitness:-17.442979855347996
49 time:155.26,best fitness:-17.592588404788348
50 time:153.99,best fitness:-17.389343011849217
51 time:148.51,best fitness:-17.622875387658873
52 time:151.79,best fitness:-17.361524753650666
53 time:154.1,best fitness:-17.80600243878028
54 time:151.55,best fitness:-17.187104246114735
55 time:154.74,best fitness:-17.630503727160285
56 time:155.64,best fitness:-17.747986486335645
57 time:155.68,best fitness:-17.63827811717091
58 time:152.63,best fitness:-17.186699463978737
59 time:151.68,best fitness:-17.245025037058095
60 time:151.84,best fitness:-16.918422512389036
61 time:154.34,best fitness:-17.802717390304565
62 time:151.07,best fitness:-18.089402916440942
63 time:152.0,best fitness:-16.96972153897929
64 time:149.48,best fitness:-17.561156091503197
65 time:151.87,best fitness:-17.484017070370104
66 time:151.74,best fitness:-17.489404474597755
67 time:155.54,best fitness:-17.56757312390758
68 time:150.28,best fitness:-17.292577077465427
69 time:153.3,best fitness:-16.882880477000494
70 time:152.43,best fitness:-17.45798464006977
71 time:154.11,best fitness:-17.24481029741438
72 time:156.18,best fitness:-17.777578539616268
73 time:154.11,best fitness:-17.203589039951975
74 time:151.36,best fitness:-17.296108823414936
75 time:152.96,best fitness:-17.306350300034435
76 time:155.9,best fitness:-17.530636589960295
77 time:154.06,best fitness:-17.267259958410406
78 time:152.01,best fitness:-17.533328907885878
79 time:156.1,best fitness:-17.36548258210433
80 time:153.98,best fitness:-17.292112420973865
81 time:153.15,best fitness:-17.504932079970754
82 time:151.95,best fitness:-16.515396869630123
83 time:154.92,best fitness:-17.268543501477396
84 time:153.25,best fitness:-17.47282691305171
85 time:152.15,best fitness:-17.179928542216686
86 time:156.47,best fitness:-17.604715231300315
87 time:154.71,best fitness:-17.229435410606584
88 time:152.27,best fitness:-16.72561649145372
89 time:149.83,best fitness:-17.113597324208044
90 time:149.13,best fitness:-17.312874490232243
91 time:149.16,best fitness:-17.27315801281427
92 time:149.78,best fitness:-17.319059669363288
93 time:150.55,best fitness:-17.47281547770754
94 time:149.74,best fitness:-17.562053006946755
95 time:151.33,best fitness:-16.91112349024051
96 time:154.41,best fitness:-17.36197650800929
97 time:152.94,best fitness:-16.9718018876549
98 time:154.48,best fitness:-16.991986339087976
99 time:152.11,best fitness:-17.264817893772726
100 time:152.48,best fitness:-16.987441491044383
101 time:151.52,best fitness:-17.337632705181274
102 time:152.79,best fitness:-17.21391407458654
103 time:152.22,best fitness:-16.713252429614343
104 time:152.68,best fitness:-17.740810717868793
105 time:151.96,best fitness:-17.189680378004798
106 time:149.02,best fitness:-17.4163072891145
107 time:152.6,best fitness:-17.323688793187358
108 time:153.5,best fitness:-17.28503382027269
109 time:151.03,best fitness:-17.510213131541764
110 time:151.74,best fitness:-17.05049766833059
111 time:150.82,best fitness:-17.053209344978907
112 time:153.97,best fitness:-17.450779042078693
113 time:156.35,best fitness:-17.35159042032957
114 time:151.1,best fitness:-17.0077980968365
115 time:150.76,best fitness:-17.179641715426627
116 time:150.3,best fitness:-17.41254930641131
117 time:152.05,best fitness:-17.301704264500287
118 time:155.17,best fitness:-17.605500820103494
119 time:154.67,best fitness:-17.388098650887247
120 time:154.44,best fitness:-17.577104909027593
121 time:155.98,best fitness:-17.30802129391858
122 time:152.77,best fitness:-17.141442766851373
123 time:152.55,best fitness:-17.14863629423218
124 time:153.25,best fitness:-16.84381981767837
125 time:153.65,best fitness:-17.8564982433796
126 time:151.47,best fitness:-17.104247187577194
127 time:152.88,best fitness:-17.07066526001645
128 time:150.8,best fitness:-17.358625028331662
129 time:152.77,best fitness:-17.41000559989936
130 time:153.36,best fitness:-17.598439924564747
131 time:151.07,best fitness:-17.043935508238807
132 time:154.99,best fitness:-17.438599431941498
133 time:153.48,best fitness:-17.268579449695086
134 time:154.52,best fitness:-17.712181348364386
135 time:153.94,best fitness:-17.492843534711795
136 time:153.87,best fitness:-17.57125606861124
137 time:154.04,best fitness:-17.406130929062943
138 time:155.44,best fitness:-17.678643165558267
139 time:152.07,best fitness:-17.36975599780219
