0 time:0.63,best fitness:0.5153846153846153
1 time:0.1,best fitness:0.5307692307692308
2 time:0.08,best fitness:0.5307692307692308
3 time:0.07,best fitness:0.5307692307692308
4 time:0.08,best fitness:0.5307692307692308
5 time:0.07,best fitness:0.5307692307692308
6 time:0.09,best fitness:0.5307692307692308
7 time:0.07,best fitness:0.5307692307692308
8 time:0.08,best fitness:0.5307692307692308
9 time:0.08,best fitness:0.5307692307692308
10 time:0.08,best fitness:0.5307692307692308
11 time:0.09,best fitness:0.5307692307692308
12 time:0.07,best fitness:0.5307692307692308
13 time:0.08,best fitness:0.5307692307692308
14 time:0.11,best fitness:0.5307692307692308
15 time:0.08,best fitness:0.5307692307692308
16 time:0.16,best fitness:0.5307692307692308
17 time:0.07,best fitness:0.5307692307692308
18 time:0.08,best fitness:0.5307692307692308
19 time:0.07,best fitness:0.5307692307692308
20 time:0.08,best fitness:0.5307692307692308
21 time:0.09,best fitness:0.5307692307692308
22 time:0.1,best fitness:0.5307692307692308
23 time:0.09,best fitness:0.5307692307692308
24 time:0.07,best fitness:0.5307692307692308
25 time:0.09,best fitness:0.5307692307692308
26 time:0.1,best fitness:0.5307692307692308
27 time:0.08,best fitness:0.5307692307692308
28 time:0.07,best fitness:0.5307692307692308
29 time:0.07,best fitness:0.5307692307692308
30 time:0.09,best fitness:0.5307692307692308
31 time:0.1,best fitness:0.5307692307692308
32 time:0.07,best fitness:0.5307692307692308
33 time:0.09,best fitness:0.5307692307692308
34 time:0.08,best fitness:0.5307692307692308
35 time:0.09,best fitness:0.5307692307692308
36 time:0.09,best fitness:0.5307692307692308
37 time:0.08,best fitness:0.5307692307692308
38 time:0.08,best fitness:0.5307692307692308
39 time:0.08,best fitness:0.5307692307692308
40 time:0.09,best fitness:0.5307692307692308
41 time:0.08,best fitness:0.5307692307692308
42 time:0.1,best fitness:0.5307692307692308
43 time:0.1,best fitness:0.5307692307692308
44 time:0.07,best fitness:0.5307692307692308
45 time:0.09,best fitness:0.5307692307692308
46 time:0.08,best fitness:0.5307692307692308
47 time:0.08,best fitness:0.5307692307692308
48 time:0.07,best fitness:0.5307692307692308
49 time:0.07,best fitness:0.5307692307692308
50 time:0.08,best fitness:0.5307692307692308
51 time:0.08,best fitness:0.5307692307692308
52 time:0.07,best fitness:0.5307692307692308
53 time:0.07,best fitness:0.5307692307692308
54 time:0.07,best fitness:0.5307692307692308
55 time:0.07,best fitness:0.5307692307692308
56 time:0.08,best fitness:0.5307692307692308
57 time:0.1,best fitness:0.5307692307692308
58 time:0.08,best fitness:0.5307692307692308
59 time:0.08,best fitness:0.5307692307692308
60 time:0.07,best fitness:0.5307692307692308
61 time:0.08,best fitness:0.5307692307692308
62 time:0.08,best fitness:0.5307692307692308
63 time:0.09,best fitness:0.5307692307692308
64 time:0.08,best fitness:0.5307692307692308
65 time:0.09,best fitness:0.5307692307692308
66 time:0.08,best fitness:0.5307692307692308
67 time:0.1,best fitness:0.5307692307692308
68 time:0.1,best fitness:0.5307692307692308
69 time:0.09,best fitness:0.5307692307692308
70 time:0.08,best fitness:0.5307692307692308
71 time:0.1,best fitness:0.5307692307692308
72 time:0.11,best fitness:0.5307692307692308
73 time:0.08,best fitness:0.5307692307692308
74 time:0.1,best fitness:0.5307692307692308
75 time:0.1,best fitness:0.5307692307692308
76 time:0.08,best fitness:0.5307692307692308
77 time:0.08,best fitness:0.5307692307692308
78 time:0.09,best fitness:0.5307692307692308
79 time:0.07,best fitness:0.5615384615384615
80 time:0.07,best fitness:0.5615384615384615
81 time:0.09,best fitness:0.5615384615384615
82 time:0.08,best fitness:0.5615384615384615
83 time:0.08,best fitness:0.5615384615384615
84 time:0.08,best fitness:0.5615384615384615
85 time:0.09,best fitness:0.5615384615384615
86 time:0.09,best fitness:0.5615384615384615
87 time:0.09,best fitness:0.5615384615384615
88 time:0.13,best fitness:0.5615384615384615
89 time:0.08,best fitness:0.5615384615384615
90 time:0.07,best fitness:0.5615384615384615
91 time:0.1,best fitness:0.5615384615384615
92 time:0.08,best fitness:0.5615384615384615
93 time:0.08,best fitness:0.5615384615384615
94 time:0.09,best fitness:0.5615384615384615
95 time:0.07,best fitness:0.5615384615384615
96 time:0.07,best fitness:0.5615384615384615
97 time:0.07,best fitness:0.5615384615384615
98 time:0.08,best fitness:0.5615384615384615
99 time:0.07,best fitness:0.5615384615384615
100 time:0.1,best fitness:0.5615384615384615
101 time:0.09,best fitness:0.5615384615384615
102 time:0.1,best fitness:0.5615384615384615
103 time:0.09,best fitness:0.5615384615384615
104 time:0.09,best fitness:0.5615384615384615
105 time:0.1,best fitness:0.5615384615384615
106 time:0.07,best fitness:0.5615384615384615
107 time:0.08,best fitness:0.5615384615384615
108 time:0.08,best fitness:0.5615384615384615
109 time:0.07,best fitness:0.5615384615384615
110 time:0.09,best fitness:0.5615384615384615
111 time:0.1,best fitness:0.5615384615384615
112 time:0.08,best fitness:0.5615384615384615
113 time:0.07,best fitness:0.5615384615384615
114 time:0.08,best fitness:0.5615384615384615
115 time:0.1,best fitness:0.5615384615384615
116 time:0.09,best fitness:0.5615384615384615
117 time:0.09,best fitness:0.5615384615384615
118 time:0.08,best fitness:0.5615384615384615
119 time:0.08,best fitness:0.5615384615384615
120 time:0.08,best fitness:0.5615384615384615
121 time:0.1,best fitness:0.5615384615384615
122 time:0.09,best fitness:0.5615384615384615
123 time:0.09,best fitness:0.5615384615384615
124 time:0.08,best fitness:0.5615384615384615
125 time:0.08,best fitness:0.5615384615384615
126 time:0.07,best fitness:0.5615384615384615
127 time:0.08,best fitness:0.5615384615384615
128 time:0.09,best fitness:0.5615384615384615
129 time:0.07,best fitness:0.5615384615384615
130 time:0.07,best fitness:0.5615384615384615
131 time:0.08,best fitness:0.5615384615384615
132 time:0.1,best fitness:0.5615384615384615
133 time:0.08,best fitness:0.5615384615384615
134 time:0.08,best fitness:0.5615384615384615
135 time:0.07,best fitness:0.5615384615384615
136 time:0.08,best fitness:0.5615384615384615
137 time:0.07,best fitness:0.5615384615384615
138 time:0.1,best fitness:0.5615384615384615
139 time:0.07,best fitness:0.5615384615384615
140 time:0.07,best fitness:0.5615384615384615
141 time:0.08,best fitness:0.5615384615384615
142 time:0.07,best fitness:0.5615384615384615
143 time:0.07,best fitness:0.5615384615384615
144 time:0.09,best fitness:0.5692307692307692
145 time:0.08,best fitness:0.5692307692307692
146 time:0.08,best fitness:0.7384615384615385
147 time:0.1,best fitness:0.7384615384615385
148 time:0.09,best fitness:0.7384615384615385
149 time:0.1,best fitness:0.7384615384615385
150 time:0.08,best fitness:0.7384615384615385
151 time:0.07,best fitness:0.7384615384615385
152 time:0.08,best fitness:0.7384615384615385
153 time:0.09,best fitness:0.7384615384615385
154 time:0.09,best fitness:0.7384615384615385
155 time:0.07,best fitness:0.7384615384615385
156 time:0.09,best fitness:0.7384615384615385
157 time:0.08,best fitness:0.7384615384615385
158 time:0.07,best fitness:0.7384615384615385
159 time:0.07,best fitness:0.7384615384615385
160 time:0.07,best fitness:0.7384615384615385
161 time:0.1,best fitness:0.7384615384615385
162 time:0.1,best fitness:0.7384615384615385
163 time:0.09,best fitness:0.7730769230769231
164 time:0.09,best fitness:0.7730769230769231
165 time:0.08,best fitness:0.7730769230769231
166 time:0.08,best fitness:0.7730769230769231
167 time:0.07,best fitness:0.7730769230769231
168 time:0.07,best fitness:0.7730769230769231
169 time:0.07,best fitness:0.7730769230769231
170 time:0.07,best fitness:0.7730769230769231
171 time:0.08,best fitness:0.7730769230769231
172 time:0.08,best fitness:0.7730769230769231
173 time:0.08,best fitness:0.7730769230769231
174 time:0.07,best fitness:0.7730769230769231
175 time:0.08,best fitness:0.7730769230769231
176 time:0.08,best fitness:0.7730769230769231
177 time:0.14,best fitness:0.7730769230769231
178 time:0.09,best fitness:0.7730769230769231
179 time:0.1,best fitness:0.7730769230769231
180 time:0.07,best fitness:0.7730769230769231
181 time:0.07,best fitness:0.7730769230769231
