0 time:76.83,best fitness:60.25480769230769
1 time:74.3,best fitness:66.41153846153847
2 time:75.06,best fitness:70.1508846153846
3 time:72.47,best fitness:70.13226923076923
4 time:72.04,best fitness:70.0732076923077
5 time:71.34,best fitness:70.15381538461537
6 time:71.05,best fitness:69.88701538461538
7 time:70.99,best fitness:70.02563076923076
8 time:71.33,best fitness:70.81103076923075
9 time:71.17,best fitness:70.8155153846154
10 time:71.75,best fitness:70.89361538461537
11 time:70.98,best fitness:70.8589
12 time:71.2,best fitness:70.8545
13 time:71.87,best fitness:70.85336153846154
14 time:70.49,best fitness:70.92039230769231
15 time:71.25,best fitness:70.85814615384616
16 time:71.37,best fitness:70.91946153846153
17 time:71.7,best fitness:71.03553076923077
18 time:72.23,best fitness:71.08115384615385
19 time:72.24,best fitness:71.0936923076923
20 time:72.06,best fitness:71.08415384615384
21 time:72.04,best fitness:71.13080000000001
22 time:71.99,best fitness:71.13056923076923
23 time:71.52,best fitness:71.13035384615384
24 time:71.3,best fitness:71.13502307692306
25 time:71.13,best fitness:71.12765384615383
26 time:71.71,best fitness:71.13365384615385
27 time:71.49,best fitness:71.10543076923076
28 time:71.26,best fitness:71.1340923076923
29 time:71.21,best fitness:71.13449999999999
30 time:71.7,best fitness:71.13705384615385
31 time:71.59,best fitness:71.10665384615385
32 time:71.29,best fitness:71.12750769230769
33 time:71.54,best fitness:71.11694615384616
34 time:72.01,best fitness:71.13245384615385
35 time:71.17,best fitness:71.13043076923076
36 time:71.75,best fitness:71.13490769230768
37 time:71.76,best fitness:71.1361923076923
38 time:71.36,best fitness:71.13765384615382
39 time:72.01,best fitness:71.13004615384614
40 time:71.63,best fitness:71.12812307692307
41 time:72.05,best fitness:71.13051538461538
42 time:71.73,best fitness:71.12806923076923
43 time:71.76,best fitness:71.12556153846154
44 time:72.35,best fitness:71.1366923076923
45 time:72.38,best fitness:71.13090769230769
46 time:71.75,best fitness:71.13565384615386
47 time:71.64,best fitness:71.13126923076922
48 time:72.11,best fitness:71.12565384615385
49 time:71.3,best fitness:71.13015384615383
50 time:72.64,best fitness:71.1306923076923
51 time:71.67,best fitness:71.12913846153846
