0 time:38.99,best fitness:7.692753729882701e+51
1 time:34.43,best fitness:1.5344155802383388e+52
2 time:34.08,best fitness:2.3508691251224147e+52
3 time:34.13,best fitness:3.095052878135491e+52
4 time:34.98,best fitness:5.43789541376851e+51
5 time:34.0,best fitness:1.682377953551066e+52
6 time:34.36,best fitness:5.381891130593611e+52
7 time:34.46,best fitness:5.075257278232581e+52
8 time:34.23,best fitness:3.252779753029617e+52
9 time:34.32,best fitness:1.2359665911402656e+52
10 time:34.27,best fitness:1.1001117047319879e+52
11 time:34.29,best fitness:6.073091917575324e+52
12 time:34.62,best fitness:1.3271575482775823e+53
13 time:34.78,best fitness:1.6713603694434463e+53
14 time:34.16,best fitness:9.94909457523901e+52
15 time:34.3,best fitness:3.9318283412032285e+52
16 time:34.12,best fitness:2.0925587387024987e+52
17 time:34.47,best fitness:1.2786242318188642e+52
18 time:34.68,best fitness:2.694537631185328e+52
19 time:34.2,best fitness:3.1723185492124464e+52
20 time:34.24,best fitness:2.3794938192165937e+52
21 time:34.23,best fitness:9.339055739342953e+51
22 time:34.79,best fitness:9.616699445743583e+52
23 time:34.66,best fitness:2.904714415387207e+52
24 time:33.92,best fitness:1.4967966292034153e+52
25 time:34.56,best fitness:5.677138919593541e+52
26 time:34.26,best fitness:1.9915651990106996e+52
27 time:34.12,best fitness:2.4208951051320505e+52
28 time:34.19,best fitness:3.8128454431231973e+52
29 time:34.16,best fitness:3.1299870057405855e+52
30 time:34.34,best fitness:4.014682147466961e+52
31 time:34.48,best fitness:4.1316952107164253e+52
32 time:34.12,best fitness:3.559896100412466e+52
33 time:34.22,best fitness:1.9124125086253867e+53
34 time:34.31,best fitness:1.9478995361796887e+52
