0 time:233.43,best fitness:-53.70325160115297
1 time:223.1,best fitness:-16.668055272163105
2 time:225.32,best fitness:-16.410158319852115
3 time:219.7,best fitness:-16.269807557097938
4 time:221.14,best fitness:-16.180673840416237
5 time:224.45,best fitness:-16.65694457455442
6 time:220.04,best fitness:-16.604242938635107
7 time:221.89,best fitness:-16.120653770603735
8 time:222.45,best fitness:-16.69281847474409
9 time:220.77,best fitness:-16.644462643615327
10 time:220.74,best fitness:-16.27341360803219
11 time:223.82,best fitness:-16.38212569542598
12 time:221.85,best fitness:-16.365339809355856
13 time:222.87,best fitness:-16.510637141987303
14 time:223.85,best fitness:-16.56670401959607
15 time:223.84,best fitness:-16.186174743721576
16 time:222.7,best fitness:-16.308530230454313
17 time:220.42,best fitness:-16.492261598802795
18 time:219.32,best fitness:-16.629250620665278
19 time:224.57,best fitness:-16.569656063928637
20 time:219.09,best fitness:-16.41483349831266
21 time:219.72,best fitness:-16.462060948117852
22 time:222.2,best fitness:-16.680314583177108
23 time:220.11,best fitness:-16.659273408879006
24 time:219.97,best fitness:-16.245757780898632
25 time:219.78,best fitness:-16.25969893417413
26 time:218.02,best fitness:-16.34884462712315
27 time:221.28,best fitness:-16.39419910205903
28 time:220.93,best fitness:-16.46929585385516
29 time:219.98,best fitness:-16.81314951808227
30 time:218.54,best fitness:-16.10260833874127
31 time:222.43,best fitness:-16.49044670088547
32 time:222.24,best fitness:-16.428292641589334
33 time:218.61,best fitness:-16.242387646792668
34 time:218.07,best fitness:-16.236257396146954
35 time:226.32,best fitness:-16.578608950346425
36 time:219.23,best fitness:-16.332107211640587
37 time:218.6,best fitness:-16.4437755348927
38 time:221.03,best fitness:-16.484877473601077
39 time:220.14,best fitness:-16.28161293517672
40 time:220.99,best fitness:-16.38758191571164
41 time:221.9,best fitness:-16.12190203311458
42 time:220.44,best fitness:-15.864485145203908
43 time:224.49,best fitness:-15.871376384678948
44 time:223.04,best fitness:-15.512565559033836
45 time:221.27,best fitness:-15.673437130840604
46 time:219.96,best fitness:-15.964799765932803
47 time:223.1,best fitness:-16.036247354085894
48 time:221.15,best fitness:-15.772069928176398
49 time:220.52,best fitness:-16.019858252992957
50 time:220.71,best fitness:-15.662726434407658
